"Time","Position 1","Velocity 1","Acceleration 1","Position 2","Velocity 2","Acceleration 2"
4.14,-0.034,-0.001,0.062,0.569,0.082,-0.004
4.16,-0.034,0.001,0.076,0.571,0.082,-0.001
4.18,-0.034,0.004,0.015,0.572,0.082,-0.004
4.20,-0.034,0.001,-0.042,0.574,0.082,-0.019
4.22,-0.034,0.000,-0.020,0.576,0.082,-0.050
4.24,-0.034,0.000,0.002,0.577,0.081,-0.098
4.26,-0.034,0.001,0.013,0.579,0.077,-0.099
4.28,-0.034,0.003,-0.051,0.580,0.076,-0.054
4.30,-0.034,-0.003,-0.059,0.582,0.075,-0.037
4.32,-0.034,-0.001,0.002,0.583,0.075,-0.054
4.34,-0.034,-0.001,0.012,0.585,0.074,-0.100
4.36,-0.034,-0.002,0.077,0.586,0.070,-0.105
4.38,-0.034,0.003,0.070,0.588,0.069,-0.083
4.40,-0.034,0.003,-0.053,0.589,0.068,-0.097
4.42,-0.034,-0.002,-0.051,0.591,0.066,-0.132
4.44,-0.034,0.000,0.006,0.592,0.060,-0.053
4.46,-0.034,0.002,-0.069,0.593,0.063,0.071
4.48,-0.034,-0.004,-0.103,0.594,0.066,0.028
4.50,-0.034,-0.005,-0.027,0.595,0.066,-0.120
4.52,-0.034,-0.003,-0.011,0.597,0.061,-0.230
4.54,-0.034,-0.005,0.013,0.598,0.053,-0.174
4.56,-0.034,-0.005,0.109,0.599,0.053,-0.082
4.58,-0.034,0.000,0.149,0.600,0.052,-0.079
4.60,-0.034,0.004,0.066,0.601,0.048,0.006
4.62,-0.034,0.004,-0.067,0.602,0.053,0.051
4.64,-0.034,-0.002,-0.062,0.603,0.055,-0.112
4.66,-0.034,0.000,0.004,0.604,0.046,-0.156
4.68,-0.034,0.002,-0.062,0.605,0.044,-0.024
4.70,-0.034,-0.004,-0.067,0.606,0.047,0.003
4.72,-0.034,-0.004,0.065,0.607,0.049,-0.145
4.74,-0.034,0.000,0.142,0.608,0.040,-0.230
4.76,-0.034,0.005,0.074,0.609,0.032,0.013
4.78,-0.034,0.005,-0.077,0.609,0.041,0.235
4.80,-0.034,0.000,-0.156,0.610,0.051,0.028
4.82,-0.034,-0.005,-0.094,0.611,0.043,-0.206
4.84,-0.034,-0.005,0.034,0.612,0.036,-0.153
4.86,-0.034,-0.002,0.094,0.613,0.033,0.064
4.88,-0.034,0.000,0.089,0.613,0.041,0.196
4.90,-0.034,0.002,0.080,0.614,0.048,0.040
4.92,-0.034,0.005,0.005,0.615,0.041,-0.011
4.94,-0.034,0.003,-0.131,0.616,0.038,0.402
4.96,-0.034,-0.003,-0.144,0.617,0.045,1.341
4.98,-0.034,-0.005,-0.047,0.617,0.094,2.220
5.00,-0.034,-0.003,0.033,0.621,0.153,2.690
